date,hormuz_crude_boepd,hormuz_crude_total_boe,hormuz_crude_shortfall_mmb,hormuz_lng_boepd,hormuz_lng_total_boe,hormuz_lng_shortfall_mmb,hormuz_lpg_boepd,hormuz_lpg_total_boe,hormuz_lpg_shortfall_mmb,hormuz_implied_inv_draw_mmb,hormuz_supply_shock_pct
2025-05-01,16769603.32,67078413.28,0.0,2380369.5089999996,9521478.035999998,0.0,1553174.9685,6212699.874,0.0,-0.0,0.0
2025-06-01,19911736.339333337,597352090.1800001,0.0,2391408.7554,71742262.662,0.0,1254812.3172,37644369.515999995,0.0,-0.0,0.0
2025-07-01,19900845.961290322,616926224.8,0.0,2413006.104193548,74803189.22999999,0.0,1248557.9069032257,38705295.114,0.0,-0.0,0.0
2025-08-01,20914241.16064516,648341475.98,0.0,2337785.347935484,72471345.786,0.0,1280056.218387097,39681742.77,0.0,-0.0,0.0
2025-09-01,19948273.457333334,598448203.72,0.0,2198569.7202,65957091.606,0.0,1354743.5658,40642306.974,0.0,-0.0,0.0
2025-10-01,20231850.55451613,627187367.19,0.0,2217005.349096774,68727165.822,0.0,1135417.9319999998,35197955.892,0.0,-0.0,0.0
2025-11-01,20093673.780666664,602810213.42,0.0,2235188.1636,67055644.908,0.0,1233315.8574,36999475.722,0.0,-0.0,0.0
2025-12-01,18193316.78645161,563992820.38,0.0,2132580.603774193,66109998.71699999,0.0,967180.7276129031,29982602.555999998,0.0,-0.0,0.0
2026-01-01,19703671.798709676,610813825.76,0.0,2346130.907129032,72730058.12099999,0.0,1112029.4601290321,34472913.264,0.0,-0.0,0.0
2026-02-01,20531771.6325,574889605.71,0.0,2388134.4795,66867765.426,1.645002875021739,1230265.5852857141,34447436.388,0.3328500476086956,-1.9778529226304344,0.0
2026-03-01,491012.1090322581,15221375.38,600.7397562040217,0.0,0.0,71.3594263496739,174662.50180645162,5414537.556,32.000296709869566,-704.0994792635651,23.63256318662556
2026-04-01,556031.3213333334,16680939.64,579.4104780219566,38657.3649,1159720.947,67.89778842365216,185693.5932,5570807.796,30.737180749043475,-678.0454471946522,23.55327146430718
2026-05-01,371935.195,9670315.07,506.94224690369566,61604.007230769224,1601704.1879999998,58.24813726656521,91111.71115384615,2368904.4899999998,29.011279087826086,-594.2016632580869,19.94265330069613
