date,oil_production_kbd_sa,real_activity_igrea,oil_price_usd,us_cpi,dprod_pct,real_oil_price,ln_real_oil_price
1974-01-01,55497.55,105.1876,9.59,46.8,,20.4915,-1.585162
1974-02-01,55875.24,88.2496,12.45,47.3,0.6782,26.3214,-1.33479
1974-03-01,56370.32,97.8378,12.73,47.8,0.8821,26.6318,-1.323064
1974-04-01,57400.76,85.8653,12.72,48.1,1.8115,26.4449,-1.330107
1974-05-01,57800.84,103.6249,13.02,48.6,0.6946,26.7901,-1.317137
1974-06-01,57261.55,81.9583,13.06,49.0,-0.9374,26.6531,-1.322266
1974-07-01,55913.38,61.6583,12.75,49.3,-2.3826,25.8621,-1.352393
1974-08-01,54627.78,58.2954,12.68,49.9,-2.3261,25.4108,-1.369995
1974-09-01,54873.53,60.0464,12.53,50.6,0.4488,24.7628,-1.395826
1974-10-01,54664.51,61.2033,12.44,51.0,-0.3816,24.3922,-1.410909
1974-11-01,54411.1,58.6207,12.53,51.5,-0.4647,24.3301,-1.413456
1974-12-01,53938.43,21.4601,12.82,51.9,-0.8725,24.7013,-1.398312
1975-01-01,52442.32,-1.1019,12.77,52.3,-2.8129,24.4168,-1.409898
1975-02-01,51340.07,-10.047,13.05,52.6,-2.1242,24.8099,-1.393928
1975-03-01,51322.03,-26.8475,13.28,52.8,-0.0351,25.1515,-1.380252
1975-04-01,51240.29,-41.5987,13.26,53.0,-0.1594,25.0189,-1.38554
1975-05-01,51711.52,-44.2619,13.27,53.1,0.9154,24.9906,-1.386671
1975-06-01,52883.07,-37.1145,14.15,53.5,2.2403,26.4486,-1.329967
1975-07-01,54009.4,-42.0961,14.03,54.0,2.1075,25.9815,-1.347786
1975-08-01,55342.57,-45.8063,14.25,54.2,2.4384,26.2915,-1.335924
1975-09-01,56776.09,-34.5947,14.04,54.6,2.5573,25.7143,-1.358123
1975-10-01,51036.92,-34.1835,14.66,54.9,-10.6566,26.7031,-1.320391
1975-11-01,52511.3,-24.2835,15.04,55.3,2.8479,27.1971,-1.30206
1975-12-01,53254.18,-35.9037,14.81,55.6,1.4048,26.6367,-1.322881
1976-01-01,53151.88,-46.2066,13.27,55.8,-0.1923,23.7814,-1.436268
1976-02-01,54492.53,-50.4638,13.26,55.9,2.491,23.7209,-1.438812
1976-03-01,55919.64,-32.7325,13.51,56.0,2.5852,24.125,-1.421922
1976-04-01,55197.99,-29.1418,13.39,56.1,-1.2989,23.8681,-1.432628
1976-05-01,55675.1,-19.546,13.41,56.4,0.8606,23.7766,-1.436468
1976-06-01,57360.89,-16.4157,13.48,56.7,2.983,23.7743,-1.436567
1976-07-01,57450.54,-21.7233,13.51,57.0,0.1562,23.7018,-1.439621
1976-08-01,58024.91,-24.2055,13.58,57.3,0.9948,23.6998,-1.439703
1976-09-01,58636.09,-24.9364,13.47,57.6,1.0478,23.3854,-1.453058
1976-10-01,60037.28,-21.0236,13.49,57.9,2.3615,23.2988,-1.456769
1976-11-01,60273.3,-19.5923,13.58,58.1,0.3924,23.3735,-1.453568
1976-12-01,61799.21,-35.9924,13.71,58.4,2.5001,23.476,-1.44919
1977-01-01,56848.68,-49.3723,14.11,58.7,-8.3498,24.0375,-1.425556
1977-02-01,60572.33,-45.2813,14.5,59.3,6.3445,24.4519,-1.408461
1977-03-01,61135.06,-45.6173,14.54,59.6,0.9247,24.396,-1.410752
1977-04-01,60475.97,-43.7365,14.36,60.0,-1.0839,23.9333,-1.429898
1977-05-01,58798.31,-35.9869,14.62,60.2,-2.8133,24.2857,-1.415282
1977-06-01,59571.32,-40.7606,14.63,60.5,1.3061,24.1818,-1.419569
1977-07-01,58187.6,-44.5551,14.44,60.8,-2.3502,23.75,-1.437588
1977-08-01,59178.92,-47.2597,14.68,61.1,1.6893,24.0262,-1.426026
1977-09-01,60134.16,-47.4179,14.5,61.3,1.6013,23.6542,-1.441631
